"","analysis.label","analysis","gene","test","pvalue","p.adjust.fdr","signif.fdr.0.10","signif.fdr.0.05","or","d","totcases","totcontrols","totgenestested","tottests","signif.bonferroni","a","b","c","filename","bonferroni.cutoff","ID","p_val","lower_CI","upper_CI"
"1","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","CP","zero80",0.353115672913675,0.918816128788952,0,0,1.3000316405632,5,306,6658,11,18,0,6574,301,84,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,1,0.353115672913675,0.408417791899228,3.18978634018074
"2","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","CAPN1","zero80",0.353521580230316,0.918816128788952,0,0,1.45500550055006,3,306,6658,11,18,0,6613,303,45,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,2,0.353521580230316,0.287579516196297,4.57308611075788
"3","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","ATXN7","zero80",0.856034894929148,0.980627265395808,0,0,0.516471506635441,1,306,6658,11,18,0,6616,305,42,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,3,0.856034894929148,0.0127371551524836,3.06169284632599
"4","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","CLN6","zero80",0.628458662844438,0.935114756579922,0,0,1.03622170179547,1,306,6658,11,18,0,6637,305,21,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,4,0.628458662844438,0.0249759028551785,6.48607479929552
"5","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","ATXN3","zero80",0.984606137969642,0.997101139720526,0,0,0.320306362922231,2,306,6658,11,18,0,6524,304,134,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,5,0.984606137969642,0.0382215818595589,1.19028465614745
"6","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","SPG7","zero80",0.655821134462411,0.935114756579922,0,0,0.893123558931236,3,306,6658,11,18,0,6585,303,73,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,6,0.655821134462411,0.179000641165905,2.74031698988423
"7","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","ATXN1","zero80",0.983368108866404,0.997101139720526,0,0,0.380162868357842,3,306,6658,11,18,0,6489,303,169,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,7,0.983368108866404,0.0771799183990496,1.14119510329193
"8","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","TBP","zero80",0.86844911193472,0.980627265395808,0,0,0.562286397812714,2,306,6658,11,18,0,6581,304,77,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,8,0.86844911193472,0.0665911578407693,2.11943593967723
"9","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","RNF216","zero80",0.0685933084014505,0.695315784611568,0,0,5.46875,2,306,6658,11,18,0,6650,304,8,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,9,0.0685933084014505,0.563149060162823,27.5637493270854
"10","ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT","Adulthood ataxia genes in ad-hoc childhood (<18y) ataxia cases vs ad-hoc adulthood (>=40y at recruit) controls","PDYN","zero80",0.534569273200594,0.918816128788952,0,0,1.36106557377049,1,306,6658,11,18,0,6642,305,16,"output/fisher/ADULTGENES_ADHOC_CHILD_HATX_40_RECRUIT.tsv",0.00012531328320802,10,0.534569273200594,0.0323515775384434,8.81771791549495
