Comparison_list,P_value,name_variable,FDR_p
Adult-onset vs. controls,0.9999999999980823,MMAdiposeSub,0.9999999999999984
Childhood-onset vs. controls,0.4212441313352743,MMAdiposeSub,0.9999999999999984
Overlap-onset vs. controls,0.9999999999999888,MMAdiposeSub,0.9999999999999984
Adult-onset vs. childhood-onset,0.9999999999999812,MMAdiposeSub,0.9999999999999984
Adult-onset vs. overlap-onset,0.9999999999999984,MMAdiposeSub,0.9999999999999984
Childhood-onset vs. overlap-onset,0.9999999999999851,MMAdiposeSub,0.9999999999999984
Adult-onset vs. controls,0.9999999999999956,MMAdiposeVisceral,0.9999999999999956
Childhood-onset vs. controls,0.1375861324575456,MMAdiposeVisceral,0.41275839737263686
Overlap-onset vs. controls,0.5289101930674973,MMAdiposeVisceral,0.793365289601246
Adult-onset vs. childhood-onset,NA,MMAdiposeVisceral,NA
Adult-onset vs. overlap-onset,NA,MMAdiposeVisceral,NA
Childhood-onset vs. overlap-onset,NA,MMAdiposeVisceral,NA
Adult-onset vs. controls,0.9999999999983569,MMAdrenalGland,0.9999999999999993
Childhood-onset vs. controls,0.39352912129243073,MMAdrenalGland,0.9999999999999993
Overlap-onset vs. controls,0.5516049217067029,MMAdrenalGland,0.9999999999999993
Adult-onset vs. childhood-onset,0.9999999999999812,MMAdrenalGland,0.9999999999999993
Adult-onset vs. overlap-onset,NA,MMAdrenalGland,NA
Childhood-onset vs. overlap-onset,0.9999999999999993,MMAdrenalGland,0.9999999999999993
Adult-onset vs. controls,0.9999999999962981,MMArteryAorta,0.9999999999962981
Childhood-onset vs. controls,0.426200531159438,MMArteryAorta,0.9999999999962981
Overlap-onset vs. controls,0.9397843639955766,MMArteryAorta,0.9999999999962981
Adult-onset vs. childhood-onset,NA,MMArteryAorta,NA
Adult-onset vs. overlap-onset,NA,MMArteryAorta,NA
Childhood-onset vs. overlap-onset,NA,MMArteryAorta,NA
Adult-onset vs. controls,0.9999999999999842,MMArteryCoronary,0.9999999999999842
Childhood-onset vs. controls,0.337298860355438,MMArteryCoronary,0.9999999999999842
Overlap-onset vs. controls,0.8298402280598631,MMArteryCoronary,0.9999999999999842
Adult-onset vs. childhood-onset,NA,MMArteryCoronary,NA
Adult-onset vs. overlap-onset,NA,MMArteryCoronary,NA
Childhood-onset vs. overlap-onset,NA,MMArteryCoronary,NA
Adult-onset vs. controls,0.9999999999977861,MMArteryTibial,0.9999999999999851
Childhood-onset vs. controls,0.5202739491958666,MMArteryTibial,0.9999999999999851
Overlap-onset vs. controls,0.9999999999999851,MMArteryTibial,0.9999999999999851
Adult-onset vs. childhood-onset,NA,MMArteryTibial,NA
Adult-onset vs. overlap-onset,NA,MMArteryTibial,NA
Childhood-onset vs. overlap-onset,NA,MMArteryTibial,NA
Adult-onset vs. controls,0.9999999999992665,MMAmygdala,0.9999999999999994
