"","Comparison","Annotation","P_value","Lower_CI","Upper_CI","FDR_P"
"1","Adult-onset vs. controls","TranscriptCount",0.000989172115951602,1.99996057187976,8.00003249585281,0.0019783442319032
"2","Childhood-onset vs. controls","TranscriptCount",7.16378181465386e-09,1.01506694882891,3.00002102673525,4.29826908879232e-08
"3","Overlap-onset vs. controls","TranscriptCount",3.35323907127147e-08,2.99999104390525,5.99998184815668,1.00597172138144e-07
"4","Adult-onset vs. childhood-onset","TranscriptCount",0.130775563043374,-0.999981713143622,6.00002292098346,0.156930675652049
"5","Adult-onset vs. overlap-onset","TranscriptCount",0.720091445045651,-3.00008902533052,4.99995579492966,0.720091445045651
"6","Childhood-onset vs. overlap-onset","TranscriptCount",0.0566860582327291,-3.99994363810167,2.26106532395106e-05,0.0850290873490937
"7","Adult-onset vs. controls","CountsOverlap",0.0545159599888692,-3.19575521892329e-05,1.00005001058699,0.109031919977738
"8","Childhood-onset vs. controls","CountsOverlap",0.00670851390942494,2.45507075766797e-05,4.7364784700857e-05,0.0362001304555569
"9","Overlap-onset vs. controls","CountsOverlap",0.0120667101518523,1.41395382933492e-05,0.999972749340904,0.0362001304555569
"10","Adult-onset vs. childhood-onset","CountsOverlap",0.34308103453321,-6.25747332030778e-05,0.999956898379492,0.514621551799815
"11","Adult-onset vs. overlap-onset","CountsOverlap",0.612996855268773,-1.95486261046266e-05,0.999953778297134,0.612996855268773
"12","Childhood-onset vs. overlap-onset","CountsOverlap",0.492860922932887,-1.35761169648953e-05,6.71832782215167e-05,0.591433107519464
"13","Adult-onset vs. controls","NumJunctions",0.0366907232722554,1.00004053859783,37.0000722650708,0.0733814465445108
"14","Childhood-onset vs. controls","NumJunctions",7.29038454532333e-08,9.00001662892097,20.0000685533128,4.374230727194e-07
"15","Overlap-onset vs. controls","NumJunctions",9.0927107167758e-07,14.9999650046122,36.999959179123,2.72781321503274e-06
"16","Adult-onset vs. childhood-onset","NumJunctions",0.686198043439759,-17.0000057324449,25.0000228581641,0.686198043439759
"17","Adult-onset vs. overlap-onset","NumJunctions",0.568969589821949,-33.9999122545885,18.9999627031051,0.682763507786338
"18","Childhood-onset vs. overlap-onset","NumJunctions",0.113365446197105,-24.0000182115877,2.00000617269825,0.170048169295657
"19","Adult-onset vs. controls","IntronicLength",0.152655232154815,-4449.99996769555,30704.9999825664,0.457965696464447
"20","Childhood-onset vs. controls","IntronicLength",0.0188548046814296,691.999977601549,10211.0000327141,0.113128828088578
"21","Overlap-onset vs. controls","IntronicLength",0.269652276523585,-2742.00000385338,11057.9999987211,0.53930455304717
"22","Adult-onset vs. childhood-onset","IntronicLength",0.555652024757948,-13370.0000331328,25481.0000250042,0.666782429709538
"23","Adult-onset vs. overlap-onset","IntronicLength",0.491768016669318,-15158.9999505193,29548.9999552601,0.666782429709538
"24","Childhood-onset vs. overlap-onset","IntronicLength",0.807519312165858,-7511.99997928107,10880.9999231081,0.807519312165858
"25","Adult-onset vs. controls","GCcontent",0.475593967861708,-4.13003470352174,1.87003688374634,0.694344009026499
"26","Childhood-onset vs. controls","GCcontent",0.880336205914958,-1.09997511675984,0.949970570183487,0.880336205914958
"27","Overlap-onset vs. controls","GCcontent",0.543331676456849,-1.16001171381083,2.19000356017863,0.694344009026499
"28","Adult-onset vs. childhood-onset","GCcontent",0.53458590223685,-4.43004359883304,2.15994035665161,0.694344009026499
"29","Adult-onset vs. overlap-onset","GCcontent",0.305291011385837,-5.09997866180106,1.740033470987,0.694344009026499
"30","Childhood-onset vs. overlap-onset","GCcontent",0.578620007522083,-2.60003512399943,1.40008457036903,0.694344009026499
"31","Adult-onset vs. controls","String",0.194647678816833,-4.79987900946342e-05,1.00004679340025,0.2335772145802
"32","Childhood-onset vs. controls","String",0.159257174960048,-3.6973901836524e-05,3.41151311729933e-05,0.2335772145802
"33","Overlap-onset vs. controls","String",0.0615896455362163,-4.84613120764137e-05,4.03425841438477e-05,0.163512162817492
"34","Adult-onset vs. childhood-onset","String",0.0817560814087461,-4.07065647084947e-05,1.00006158487851,0.163512162817492
"35","Adult-onset vs. overlap-onset","String",0.820268617814539,-0.999937356772695,0.999950560246883,0.820268617814539
"36","Childhood-onset vs. overlap-onset","String",0.0182587136607239,-0.999984066861231,-1.71738068994103e-05,0.109552281964344
"37","Adult-onset vs. controls","LoFTool",0.0549207938846023,-0.247316431097408,4.4963938693776e-05,0.0877998300824121
"38","Childhood-onset vs. controls","LoFTool",0.0585332200549414,-0.0677509140313962,2.8611015114593e-05,0.0877998300824121
"39","Overlap-onset vs. controls","LoFTool",9.85491047707116e-05,-0.187013165518097,-0.0529884625707106,0.000591294628624269
"40","Adult-onset vs. childhood-onset","LoFTool",0.291114262948169,-0.218988608545716,0.0519938574889622,0.349337115537802
"41","Adult-onset vs. overlap-onset","LoFTool",0.832148090953794,-0.124996766634447,0.120739399229132,0.832148090953794
"42","Childhood-onset vs. overlap-onset","LoFTool",0.0276526561334095,6.69020397493256e-05,0.149996784501432,0.0829579684002286
"43","Adult-onset vs. controls","EvoTol",0.350881351140295,-19.1192264470457,8.28318889760749,0.421057621368354
"44","Childhood-onset vs. controls","EvoTol",0.002489358551417,-10.8528130147223,-0.947589501554575,0.00746807565425099
"45","Overlap-onset vs. controls","EvoTol",1.87169402318144e-05,-23.8851959014523,-6.98571069228877,0.000112301641390887
"46","Adult-onset vs. childhood-onset","EvoTol",0.966689044804116,-11.4994013941132,17.8873659644062,0.966689044804116
"47","Adult-onset vs. overlap-onset","EvoTol",0.269510890257604,-3.91298676346679,29.5386698229108,0.404266335386405
"48","Childhood-onset vs. overlap-onset","EvoTol",0.0202258811423862,0.200653468678415,15.0055268611047,0.0404517622847723
"49","Adult-onset vs. controls","RVIS",0.197471046068264,-0.0500314513368268,0.0103008975068392,0.296206569102395
"50","Childhood-onset vs. controls","RVIS",0.899170139681206,-0.00968805868135315,0.0108354216726766,0.899170139681206
"51","Overlap-onset vs. controls","RVIS",0.0376336602794303,-0.0386937101965215,-0.00102010690606523,0.224168095842717
"52","Adult-onset vs. childhood-onset","RVIS",0.171536823076136,-0.050466599118766,0.0103742073630172,0.296206569102395
"53","Adult-onset vs. overlap-onset","RVIS",0.883566149497496,-0.040001003549824,0.0348819273173716,0.899170139681206
"54","Childhood-onset vs. overlap-onset","RVIS",0.074722698614239,-0.00143956379078422,0.0422429620078286,0.224168095842717
"55","Adult-onset vs. controls","pAD",0.349685559455778,-0.033054004470794,0.139009431349885,0.451116273660724
"56","Childhood-onset vs. controls","pAD",0.0138118636476017,-0.044995694104136,-1.45468068596436e-05,0.0828711818856102
"57","Overlap-onset vs. controls","pAD",0.375930228050603,-0.0109816472393742,0.0500427552116804,0.451116273660724
"58","Adult-onset vs. childhood-onset","pAD",0.0795941940303338,-0.00104124755935847,0.229941983020475,0.159188388060668
"59","Adult-onset vs. overlap-onset","pAD",0.680723878260563,-0.071008629034303,0.156981738569282,0.680723878260563
"60","Childhood-onset vs. overlap-onset","pAD",0.044773993828029,-0.0999293609278017,-3.48984626786834e-05,0.134321981484087
"61","Adult-onset vs. controls","pAR",0.349685559455778,-0.139012020203761,0.0330519285576814,0.451116273660724
"62","Childhood-onset vs. controls","pAR",0.0138118636476017,1.28021567275239e-05,0.0449938703416002,0.0828711818856102
"63","Overlap-onset vs. controls","pAR",0.375930228050603,-0.0500456864793379,0.010978914890064,0.451116273660724
"64","Adult-onset vs. childhood-onset","pAR",0.0795941940303338,-0.229941983020475,0.00104124755935847,0.159188388060668
"65","Adult-onset vs. overlap-onset","pAR",0.680723878260563,-0.156981738569282,0.071008629034303,0.680723878260563
"66","Childhood-onset vs. overlap-onset","pAR",0.044773993828029,3.48984626786834e-05,0.0999293609278017,0.134321981484087
"67","Adult-onset vs. controls","gnomadpLI",0.0600771279411502,-2.00237061294727e-05,0.3403875354143,0.0901156919117252
"68","Childhood-onset vs. controls","gnomadpLI",0.426359128079183,-0.0080492640302493,0.000339862687265519,0.51163095369502
"69","Overlap-onset vs. controls","gnomadpLI",0.0506345434375252,1.97822089200198e-05,0.0533832165787121,0.0901156919117252
"70","Adult-onset vs. childhood-onset","gnomadpLI",0.0358353376556924,6.72954965651285e-05,0.356376639411706,0.0901156919117252
"71","Adult-onset vs. overlap-onset","gnomadpLI",0.517640122868903,-0.0256998091836819,0.306568955897952,0.517640122868903
"72","Childhood-onset vs. overlap-onset","gnomadpLI",0.0461503783137265,-0.0999396802506959,-1.29816010123509e-05,0.0901156919117252
"73","Adult-onset vs. controls","gnomadpRec",0.470795034447638,-0.0658342310750112,0.143566667680608,0.564954041337165
"74","Childhood-onset vs. controls","gnomadpRec",6.62155790601033e-06,0.0302469442113821,0.109124829725456,3.9729347436062e-05
"75","Overlap-onset vs. controls","gnomadpRec",0.119984771015032,-0.00452569671101011,0.0932105783707056,0.359954313045095
"76","Adult-onset vs. childhood-onset","gnomadpRec",0.310831069561012,-0.176290201711314,0.0387329259229354,0.564954041337165
"77","Adult-onset vs. overlap-onset","gnomadpRec",0.819758012761173,-0.14489168392953,0.109746717865842,0.819758012761173
"78","Childhood-onset vs. overlap-onset","gnomadpRec",0.410264705535896,-0.0122385518367542,0.0894324556541155,0.564954041337165
"79","Adult-onset vs. controls","gnomadpNull",0.441291953672017,-0.158697507712362,0.0375598902638866,0.52955034440642
"80","Childhood-onset vs. controls","gnomadpNull",0.383926383624883,-0.00375004957182456,0.0306783097313319,0.52955034440642
"81","Overlap-onset vs. controls","gnomadpNull",0.217577651246511,-0.0619754363180875,0.00842911330822743,0.52955034440642
"82","Adult-onset vs. childhood-onset","gnomadpNull",0.303718202100311,-0.193713324686883,0.0290365569852334,0.52955034440642
"83","Adult-onset vs. overlap-onset","gnomadpNull",0.964304254460203,-0.0976683517118917,0.0756181330149999,0.964304254460203
"84","Childhood-onset vs. overlap-onset","gnomadpNull",0.133948283920751,-0.00503829667210361,0.101382253149078,0.52955034440642
"85","Adult-onset vs. controls","gnomadpMiss",0.335455273820499,-0.253672928024307,0.660407616927463,0.501844952870131
"86","Childhood-onset vs. controls","gnomadpMiss",0.598068250873202,-0.092535367354969,0.163231364541499,0.598068250873202
"87","Overlap-onset vs. controls","gnomadpMiss",0.000694061978127063,0.186028896698955,0.728756086879027,0.00416437186876238
"88","Adult-onset vs. childhood-onset","gnomadpMiss",0.357648701140791,-0.283735842586496,0.640332328841289,0.501844952870131
"89","Adult-onset vs. overlap-onset","gnomadpMiss",0.418204127391776,-0.917214508235288,0.329023025376884,0.501844952870131
"90","Childhood-onset vs. overlap-onset","gnomadpMiss",0.00852496184709603,-0.710954477964324,-0.100791794653573,0.0255748855412881
"91","Adult-onset vs. controls","gnomadOELoF",0.333099877572431,-0.244277270499619,0.0695510990341822,0.399719853086917
"92","Childhood-onset vs. controls","gnomadOELoF",0.123696333866989,-0.00613246342598016,0.0886675923167732,0.25974812840663
"93","Overlap-onset vs. controls","gnomadOELoF",0.173165418937753,-0.140521485594027,0.0226514215484524,0.25974812840663
"94","Adult-onset vs. childhood-onset","gnomadOELoF",0.131632319604308,-0.286156946624089,0.0274932313038858,0.25974812840663
"95","Adult-onset vs. overlap-onset","gnomadOELoF",0.867522440977789,-0.194015414253425,0.136119303888541,0.867522440977789
"96","Childhood-onset vs. overlap-onset","gnomadOELoF",0.0439029262256412,0.000601116594318117,0.198655840767135,0.25974812840663
"97","Adult-onset vs. controls","gnomadOEMiss",0.907133180917834,-0.0793976048829063,0.101391806838239,0.908294117132766
"98","Childhood-onset vs. controls","gnomadOEMiss",0.494809830611781,-0.0161528451250503,0.0342856589977216,0.742214745917672
"99","Overlap-onset vs. controls","gnomadOEMiss",0.237547932817505,-0.0749888100988636,0.0187905423775031,0.712643798452514
"100","Adult-onset vs. childhood-onset","gnomadOEMiss",0.908294117132766,-0.0924823250269499,0.0932449999780035,0.908294117132766
"101","Adult-onset vs. overlap-onset","gnomadOEMiss",0.451697405579415,-0.0732672321490048,0.150318631847972,0.742214745917672
"102","Childhood-onset vs. overlap-onset","gnomadOEMiss",0.202196767343658,-0.017649518360658,0.0889765169083032,0.712643798452514
"103","Adult-onset vs. controls","mean_CDTS",0.784939243749409,-1.6144980234335,1.27356527532903,0.910574505602195
"104","Childhood-onset vs. controls","mean_CDTS",0.159053462602317,-0.739176015049778,0.120229917606079,0.318106925204634
"105","Overlap-onset vs. controls","mean_CDTS",0.00800755158138342,-1.70309130546709,-0.251224896837226,0.0480453094883005
"106","Adult-onset vs. childhood-onset","mean_CDTS",0.910574505602195,-1.34148039917378,1.68084232906914,0.910574505602195
"107","Adult-onset vs. overlap-onset","mean_CDTS",0.320105079658996,-0.855456854021881,2.52918058669425,0.480157619488493
"108","Childhood-onset vs. overlap-onset","mean_CDTS",0.154982420308572,-0.202866251998468,1.45283209109699,0.318106925204634
"109","Adult-onset vs. controls","mean_phastcons_7",0.727595764275102,-0.0664056199637135,0.0932208823731503,0.873114917130122
"110","Childhood-onset vs. controls","mean_phastcons_7",0.183624408138729,-0.00757634724158876,0.0398571627185724,0.367248816277459
"111","Overlap-onset vs. controls","mean_phastcons_7",0.00455024018466809,0.0173878140476036,0.0915113953983396,0.0273014411080085
"112","Adult-onset vs. childhood-onset","mean_phastcons_7",0.924722854374854,-0.0810453967878408,0.0805187004220406,0.924722854374854
"113","Adult-onset vs. overlap-onset","mean_phastcons_7",0.366253486326853,-0.12252059924671,0.0451345242217206,0.549380229490279
"114","Childhood-onset vs. overlap-onset","mean_phastcons_7",0.0541569931369599,-0.0808051468707708,0.000990731410615226,0.16247097941088
"115","Adult-onset vs. controls","mean_phastcons_20",0.482810108904953,-0.0593548222488527,0.121767696782289,0.696222617387326
"116","Childhood-onset vs. controls","mean_phastcons_20",0.248548889616552,-0.0110928938554154,0.042675357461791,0.497097779233104
"117","Overlap-onset vs. controls","mean_phastcons_20",0.00497086408950513,0.0185110424536797,0.100821377253195,0.0298251845370308
"118","Adult-onset vs. childhood-onset","mean_phastcons_20",0.696222617387326,-0.0774514148031037,0.111101794036164,0.696222617387326
"119","Adult-onset vs. overlap-onset","mean_phastcons_20",0.599945767832903,-0.120641587718788,0.0692516593174889,0.696222617387326
"120","Childhood-onset vs. overlap-onset","mean_phastcons_20",0.0537553439698242,-0.0916234513046739,0.000679605938377508,0.161266031909472
"121","Adult-onset vs. controls","n_bins",0.0637068981977662,-6.9999749542713,260.000015519228,0.127413796395532
"122","Childhood-onset vs. controls","n_bins",0.000508691361920227,29.9999653155928,108.999982852753,0.00305214817152136
"123","Overlap-onset vs. controls","n_bins",0.00221713536030487,35.9999550043702,172.000050192151,0.0066514060809146
"124","Adult-onset vs. childhood-onset","n_bins",0.515510302874684,-99.0000436448803,212.000009129946,0.618612363449621
"125","Adult-onset vs. overlap-onset","n_bins",0.882266356030837,-197.000020074932,162.000037848928,0.882266356030837
"126","Childhood-onset vs. overlap-onset","n_bins",0.373385731588662,-129.999989083176,48.9999970122663,0.560078597382993
"127","Adult-onset vs. controls","width",0.0746128013980533,-1645.00007498098,35864.0000102105,0.22383840419416
"128","Childhood-onset vs. controls","width",0.013168890939439,1099.99995849613,11318.0000173775,0.0790133456366341
"129","Overlap-onset vs. controls","width",0.158343468594642,-1889.00003473274,12399.0000349172,0.316686937189284
"130","Adult-onset vs. childhood-onset","width",0.389315153423534,-11509.9999959055,30002.9999986666,0.46717818410824
"131","Adult-onset vs. overlap-onset","width",0.358953230478579,-13084.000025307,33284.0000347018,0.46717818410824
"132","Childhood-onset vs. overlap-onset","width",0.930842251979993,-8728.99995214159,10980.999982285,0.930842251979993
"133","Adult-onset vs. controls","density",0.939318946220734,-0.0232500917998321,0.0235684363821742,0.939318946220734
